Seq,Letter,Answer,Item,Category,Color,RNum,Num,Date,Count
51,E,So,Cactus,Vegetable,Pink,10.54,23,2020-12-08T08:00:00.000Z,1
52,O,Yes,Wolf,Animal,Violet,28.53,19,2020-12-11T08:00:00.000Z,1
53,Z,Yes,Diamond,Mineral,Pink,92.2,73,2020-11-24T08:00:00.000Z,1
54,V,Yes,Duck,Animal,Violet,90.3,80,2020-12-10T08:00:00.000Z,1
55,H,False,Quartz,Mineral,Pink,60.28,11,2020-12-01T08:00:00.000Z,1
56,V,Maybe,Lead,Mineral,Indigo,54.27,74,2020-12-14T08:00:00.000Z,1
57,T,True,Quartz,Mineral,Purple,36.17,69,2020-11-26T08:00:00.000Z,1
58,G,True,Diamond,Mineral,Orange,49.01,6,2020-12-11T08:00:00.000Z,1
59,H,Yes,Ruby,Mineral,Brown,65.83,28,2020-12-21T08:00:00.000Z,1
60,U,True,Eagle,Animal,Indigo,87.62,50,2020-11-24T08:00:00.000Z,1
61,E,False,Moss,Vegetable,Black,90.51,62,2020-12-21T08:00:00.000Z,1
62,Q,Maybe,Eagle,Animal,Indigo,77.7,54,2020-12-01T08:00:00.000Z,1
63,O,So,Diamond,Mineral,White,49.93,41,2020-12-19T08:00:00.000Z,1
64,Y,Yes,Ruby,Mineral,Blue,88.54,10,2020-12-12T08:00:00.000Z,1
65,V,So,Tree,Vegetable,Purple,9.73,71,2020-11-30T08:00:00.000Z,1
66,Z,Yes,Fern,Vegetable,Purple,14.87,83,2020-12-21T08:00:00.000Z,1
67,R,So,Ruby,Mineral,Violet,78.41,85,2020-12-22T08:00:00.000Z,1
68,E,False,Tree,Vegetable,Orange,49.74,62,2020-12-12T08:00:00.000Z,1
69,R,False,Cactus,Vegetable,Brown,68.22,55,2020-12-13T08:00:00.000Z,1
70,P,Maybe,Grass,Vegetable,Violet,87.83,35,2020-12-04T08:00:00.000Z,1
71,W,So,Algae,Vegetable,Orange,32.52,68,2020-12-18T08:00:00.000Z,1
72,M,No,Pig,Animal,Black,47.01,93,2020-12-21T08:00:00.000Z,1
73,E,False,Flower,Vegetable,Purple,83.26,77,2020-12-20T08:00:00.000Z,1
74,Z,Maybe,Algae,Vegetable,Orange,15.45,76,2020-12-14T08:00:00.000Z,1
75,R,Yes,Lead,Mineral,Brown,44.08,81,2020-12-15T08:00:00.000Z,1
76,S,Yes,Algae,Vegetable,Indigo,13.79,89,2020-12-22T08:00:00.000Z,1
77,S,No,Fern,Vegetable,Indigo,33.7,19,2020-12-02T08:00:00.000Z,1
78,O,No,Grass,Vegetable,Purple,74.31,6,2020-11-23T08:00:00.000Z,1
79,T,No,Fern,Vegetable,Violet,95.1,34,2020-12-12T08:00:00.000Z,1
80,C,Maybe,Tree,Vegetable,Purple,95.3,59,2020-11-30T08:00:00.000Z,1
81,I,Maybe,Quartz,Mineral,White,38.94,5,2020-11-29T08:00:00.000Z,1
82,U,Maybe,Lizard,Animal,Black,87.56,88,2020-12-19T08:00:00.000Z,1
83,I,Maybe,Cactus,Vegetable,Blue,47.32,77,2020-12-03T08:00:00.000Z,1
84,O,Maybe,Silver,Mineral,Pink,12.59,60,2020-12-20T08:00:00.000Z,1
85,K,Maybe,Algae,Vegetable,Black,16.17,99,2020-12-04T08:00:00.000Z,1
86,U,True,Bird,Animal,Green,87.69,71,2020-12-09T08:00:00.000Z,1
87,P,True,Bear,Animal,Red,2.99,60,2020-12-09T08:00:00.000Z,1
88,L,False,Cat,Animal,Brown,19.91,22,2020-12-14T08:00:00.000Z,1
89,G,True,Silver,Mineral,Pink,64.45,22,2020-11-25T08:00:00.000Z,1
90,X,No,Algae,Vegetable,Orange,89.14,59,2020-11-30T08:00:00.000Z,1
91,Q,Yes,Jade,Mineral,Black,46.06,93,2020-12-11T08:00:00.000Z,1
92,M,False,Zebra,Animal,Purple,73.84,70,2020-11-28T08:00:00.000Z,1
93,T,False,Flower,Vegetable,Green,23.17,46,2020-12-09T08:00:00.000Z,1
94,P,No,Ruby,Mineral,Red,36.98,34,2020-12-17T08:00:00.000Z,1
95,N,No,Gold,Mineral,Green,23.24,86,2020-12-03T08:00:00.000Z,1
96,M,No,Moss,Vegetable,Pink,48,46,2020-12-09T08:00:00.000Z,1
97,O,Yes,Quartz,Mineral,Indigo,8.01,77,2020-12-06T08:00:00.000Z,1
98,M,So,Gold,Mineral,Gray,81.48,5,2020-12-21T08:00:00.000Z,1
99,J,Maybe,Horse,Animal,Violet,67.13,2,2020-12-09T08:00:00.000Z,1
100,Q,False,Antelope,Animal,Gray,44.25,94,2020-12-04T08:00:00.000Z,1
101,W,False,Monkey,Animal,Gray,56.03,20,2020-11-29T08:00:00.000Z,1
102,F,So,Diamond,Mineral,Purple,60.68,62,2020-12-20T08:00:00.000Z,1
103,L,False,Horse,Animal,Gray,80.09,89,2020-11-24T08:00:00.000Z,1
104,B,No,Cat,Animal,White,15.55,8,2020-12-04T08:00:00.000Z,1
105,J,So,Quartz,Mineral,Orange,76.11,11,2020-12-08T08:00:00.000Z,1
106,B,True,Tree,Vegetable,Brown,13.29,6,2020-12-05T08:00:00.000Z,1
107,G,No,Lizard,Animal,Gray,26.01,40,2020-12-21T08:00:00.000Z,1
108,H,Yes,Ruby,Mineral,Orange,93.44,17,2020-12-04T08:00:00.000Z,1
109,X,False,Quartz,Mineral,Blue,16.49,23,2020-12-18T08:00:00.000Z,1
110,Z,Yes,Fern,Vegetable,Brown,91.54,45,2020-12-10T08:00:00.000Z,1
111,Q,So,Pig,Animal,Red,54.31,82,2020-12-08T08:00:00.000Z,1
112,U,So,Grass,Vegetable,Blue,14.35,44,2020-11-28T08:00:00.000Z,1
113,S,Yes,Tree,Vegetable,Purple,59.62,44,2020-12-07T08:00:00.000Z,1
114,T,Yes,Beaver,Animal,Indigo,88.61,63,2020-11-28T08:00:00.000Z,1
115,X,No,Deer,Animal,Purple,21.91,84,2020-12-14T08:00:00.000Z,1
116,I,So,Turtle,Animal,Indigo,90.36,75,2020-12-19T08:00:00.000Z,1
117,P,Yes,Rhinoceros,Animal,Brown,56.27,92,2020-12-07T08:00:00.000Z,1
118,N,False,Insect,Animal,Brown,20.51,48,2020-12-17T08:00:00.000Z,1
119,M,Yes,Wolf,Animal,Pink,82.45,38,2020-12-13T08:00:00.000Z,1
120,P,False,Quartz,Mineral,Violet,24.09,23,2020-11-30T08:00:00.000Z,1
121,M,Maybe,Ruby,Mineral,Violet,49.74,41,2020-12-21T08:00:00.000Z,1
122,V,False,Grass,Vegetable,Red,28.08,30,2020-12-21T08:00:00.000Z,1
123,A,True,Fox,Animal,Gray,19.83,41,2020-12-11T08:00:00.000Z,1
124,W,Maybe,Cat,Animal,Violet,69.43,50,2020-12-06T08:00:00.000Z,1
125,I,So,Diamond,Mineral,Black,35.02,38,2020-11-23T08:00:00.000Z,1
126,C,So,Gold,Mineral,Blue,19.79,65,2020-11-30T08:00:00.000Z,1
127,V,False,Tiger,Animal,Pink,23.58,20,2020-12-23T08:00:00.000Z,1
128,V,Yes,Fern,Vegetable,Blue,65.75,8,2020-12-03T08:00:00.000Z,1
129,P,No,Jade,Mineral,Purple,56.75,16,2020-12-11T08:00:00.000Z,1
130,K,No,Grass,Vegetable,Blue,32.35,47,2020-12-05T08:00:00.000Z,1
131,Q,False,Ruby,Mineral,White,17.34,42,2020-12-04T08:00:00.000Z,1
132,E,Yes,Algae,Vegetable,Brown,68.31,83,2020-12-11T08:00:00.000Z,1
133,F,True,Rabbit,Animal,Pink,52.46,19,2020-11-24T08:00:00.000Z,1
134,W,False,Lead,Mineral,Gray,91.02,18,2020-11-28T08:00:00.000Z,1
135,P,Maybe,Gold,Mineral,White,80.5,20,2020-12-18T08:00:00.000Z,1
136,M,No,Zebra,Animal,Black,63.1,86,2020-12-02T08:00:00.000Z,1
137,O,True,Ruby,Mineral,Blue,85.97,90,2020-12-02T08:00:00.000Z,1
138,R,False,Diamond,Mineral,Violet,81.77,57,2020-12-23T08:00:00.000Z,1
139,Z,Maybe,Silver,Mineral,Blue,49.53,53,2020-12-14T08:00:00.000Z,1
140,P,No,Quartz,Mineral,Brown,27.19,77,2020-11-30T08:00:00.000Z,1
141,B,Maybe,Giraffe,Animal,Indigo,17.42,83,2020-12-04T08:00:00.000Z,1
142,T,No,Tiger,Animal,Gray,64.35,79,2020-12-07T08:00:00.000Z,1
143,P,Yes,Frog,Animal,Indigo,36.19,2,2020-12-15T08:00:00.000Z,1
144,T,False,Fox,Animal,Indigo,4.51,38,2020-12-02T08:00:00.000Z,1
145,L,Yes,Lead,Mineral,Indigo,29.82,86,2020-12-01T08:00:00.000Z,1
146,Y,True,Fern,Vegetable,Gray,62.18,54,2020-12-02T08:00:00.000Z,1
147,G,False,Flower,Vegetable,Green,86.06,78,2020-12-06T08:00:00.000Z,1
148,B,True,Snake,Animal,Black,80.17,89,2020-12-12T08:00:00.000Z,1
149,A,Yes,Horse,Animal,Blue,55.37,45,2020-12-05T08:00:00.000Z,1
150,M,Yes,Flower,Vegetable,Purple,99.71,57,2020-12-10T08:00:00.000Z,1
151,O,No,Fern,Vegetable,Indigo,49.77,57,2020-12-11T08:00:00.000Z,1
152,U,False,Grass,Vegetable,Indigo,44.57,37,2020-12-23T08:00:00.000Z,1
153,V,True,Lead,Mineral,Indigo,20.75,47,2020-12-04T08:00:00.000Z,1
154,N,Yes,Elephant,Animal,Black,70.31,96,2020-12-04T08:00:00.000Z,1
155,O,False,Jade,Mineral,Pink,64.73,94,2020-12-14T08:00:00.000Z,1
156,S,True,Flower,Vegetable,Red,78.59,61,2020-11-29T08:00:00.000Z,1
157,O,True,Fern,Vegetable,Indigo,10.33,50,2020-12-19T08:00:00.000Z,1
158,Z,Yes,Jade,Mineral,Blue,80.65,36,2020-12-23T08:00:00.000Z,1
159,Y,So,Flower,Vegetable,Blue,31.89,96,2020-11-25T08:00:00.000Z,1
160,Q,So,Lead,Mineral,Red,39.68,97,2020-12-06T08:00:00.000Z,1
161,P,No,Moss,Vegetable,Blue,1.42,24,2020-12-04T08:00:00.000Z,1
162,S,So,Quartz,Mineral,Black,92.81,40,2020-12-04T08:00:00.000Z,1
163,K,So,Antelope,Animal,Black,22.73,1,2020-12-01T08:00:00.000Z,1
164,Q,So,Jade,Mineral,Brown,74.9,65,2020-12-11T08:00:00.000Z,1
165,U,True,Moss,Vegetable,Orange,37.07,37,2020-11-27T08:00:00.000Z,1
166,A,Yes,Diamond,Mineral,Pink,50.44,24,2020-12-13T08:00:00.000Z,1
167,W,Yes,Ruby,Mineral,White,55.87,100,2020-12-09T08:00:00.000Z,1
168,X,No,Tree,Vegetable,Orange,59.79,80,2020-11-28T08:00:00.000Z,1
169,F,So,Jade,Mineral,Orange,84.21,88,2020-11-25T08:00:00.000Z,1
170,N,Maybe,Gold,Mineral,Violet,73.9,58,2020-12-12T08:00:00.000Z,1
171,N,Yes,Moss,Vegetable,Violet,36.93,5,2020-12-20T08:00:00.000Z,1
172,Y,So,Tiger,Animal,White,66.41,19,2020-12-18T08:00:00.000Z,1
173,U,So,Gold,Mineral,Orange,76.63,86,2020-11-24T08:00:00.000Z,1
174,Q,Yes,Elephant,Animal,Green,63.7,34,2020-12-13T08:00:00.000Z,1
175,O,No,Frog,Animal,Pink,20.9,46,2020-12-01T08:00:00.000Z,1
176,K,So,Flower,Vegetable,Violet,86.15,7,2020-11-28T08:00:00.000Z,1
177,A,Maybe,Lead,Mineral,Violet,14.65,46,2020-11-28T08:00:00.000Z,1
178,D,Yes,Quartz,Mineral,Green,80.8,78,2020-12-10T08:00:00.000Z,1
179,O,Yes,Fern,Vegetable,Green,84.63,52,2020-11-27T08:00:00.000Z,1
180,T,False,Monkey,Animal,Green,32.04,68,2020-12-01T08:00:00.000Z,1
181,T,No,Flower,Vegetable,White,27.65,65,2020-11-29T08:00:00.000Z,1
182,H,Maybe,Lead,Mineral,Pink,12.17,38,2020-12-07T08:00:00.000Z,1
183,R,True,Moss,Vegetable,Red,29.74,62,2020-12-01T08:00:00.000Z,1
184,W,Maybe,Ruby,Mineral,White,3.25,80,2020-12-15T08:00:00.000Z,1
185,N,No,Flower,Vegetable,Brown,91.44,14,2020-12-06T08:00:00.000Z,1
186,V,Yes,Giraffe,Animal,Indigo,52.17,58,2020-12-11T08:00:00.000Z,1
187,I,Maybe,Algae,Vegetable,Indigo,39.6,18,2020-11-26T08:00:00.000Z,1
188,U,True,Monkey,Animal,Red,73.43,71,2020-12-02T08:00:00.000Z,1
189,L,Maybe,Lead,Mineral,Pink,1.83,6,2020-12-16T08:00:00.000Z,1
190,Y,True,Bear,Animal,Purple,44.38,89,2020-12-06T08:00:00.000Z,1
191,Y,Maybe,Ruby,Mineral,Gray,79.65,13,2020-12-14T08:00:00.000Z,1
192,U,So,Zebra,Animal,Violet,37.23,48,2020-12-02T08:00:00.000Z,1
193,R,Maybe,Antelope,Animal,Purple,3.53,78,2020-12-05T08:00:00.000Z,1
194,Q,False,Tree,Vegetable,Violet,96.39,34,2020-12-11T08:00:00.000Z,1
195,P,Yes,Quartz,Mineral,Brown,12.91,62,2020-12-22T08:00:00.000Z,1
196,U,False,Gold,Mineral,Purple,75.42,3,2020-12-01T08:00:00.000Z,1
197,V,Yes,Duck,Animal,Orange,30.64,97,2020-11-30T08:00:00.000Z,1
198,B,True,Cat,Animal,Blue,45.91,91,2020-11-26T08:00:00.000Z,1
199,T,True,Algae,Vegetable,Black,89.86,50,2020-11-24T08:00:00.000Z,1
200,G,Yes,Lead,Mineral,White,49.92,77,2020-11-30T08:00:00.000Z,1
201,Z,False,Moss,Vegetable,Red,79.9,86,2020-12-15T08:00:00.000Z,1
202,E,Yes,Algae,Vegetable,Purple,3.43,94,2020-12-13T08:00:00.000Z,1
203,E,So,Diamond,Mineral,Green,57.24,35,2020-12-14T08:00:00.000Z,1
204,K,So,Jade,Mineral,Brown,36.05,40,2020-12-18T08:00:00.000Z,1
205,W,Yes,Deer,Animal,Pink,81.32,99,2020-11-27T08:00:00.000Z,1
206,E,Maybe,Fern,Vegetable,Black,75.63,39,2020-12-14T08:00:00.000Z,1
207,Q,True,Rhinoceros,Animal,Black,93.82,68,2020-11-28T08:00:00.000Z,1
208,E,No,Jade,Mineral,Violet,95.88,1,2020-12-09T08:00:00.000Z,1
209,F,Maybe,Flower,Vegetable,Green,24.2,23,2020-12-02T08:00:00.000Z,1
210,Z,So,Frog,Animal,Black,30.62,61,2020-12-05T08:00:00.000Z,1
211,T,False,Monkey,Animal,Brown,68.53,92,2020-12-01T08:00:00.000Z,1
212,Q,True,Deer,Animal,Green,18.48,80,2020-12-04T08:00:00.000Z,1
213,X,False,Horse,Animal,White,35.48,20,2020-12-09T08:00:00.000Z,1
214,A,So,Elephant,Animal,Blue,29.18,11,2020-12-02T08:00:00.000Z,1
215,Y,True,Antelope,Animal,Violet,26.17,53,2020-12-11T08:00:00.000Z,1
216,I,So,Otter,Animal,Orange,27.37,91,2020-12-10T08:00:00.000Z,1
217,E,Maybe,Diamond,Mineral,Purple,71.49,53,2020-12-08T08:00:00.000Z,1
218,M,Yes,Algae,Vegetable,Pink,15.21,40,2020-12-14T08:00:00.000Z,1
219,M,True,Fern,Vegetable,Indigo,52.05,84,2020-11-27T08:00:00.000Z,1
220,T,So,Lead,Mineral,Blue,88.5,67,2020-12-10T08:00:00.000Z,1
221,I,False,Algae,Vegetable,Red,77.46,28,2020-12-23T08:00:00.000Z,1
222,O,True,Shark,Animal,Brown,87.29,30,2020-12-05T08:00:00.000Z,1
223,C,False,Fish,Animal,Orange,98.67,11,2020-11-30T08:00:00.000Z,1
224,H,Maybe,Jade,Mineral,Pink,48.06,61,2020-12-03T08:00:00.000Z,1
225,H,No,Insect,Animal,Red,71.54,5,2020-12-22T08:00:00.000Z,1
226,X,True,Beaver,Animal,Purple,61.67,52,2020-11-29T08:00:00.000Z,1
227,H,Yes,Bat,Animal,Indigo,46.89,22,2020-12-15T08:00:00.000Z,1
228,U,Yes,Quartz,Mineral,Indigo,95.91,79,2020-12-19T08:00:00.000Z,1
229,E,Yes,Jade,Mineral,Purple,1.82,47,2020-12-02T08:00:00.000Z,1
230,O,Maybe,Flower,Vegetable,Black,25.2,3,2020-12-10T08:00:00.000Z,1
231,H,Yes,Cactus,Vegetable,Purple,51.33,84,2020-12-06T08:00:00.000Z,1
232,O,True,Insect,Animal,Pink,97.18,26,2020-12-18T08:00:00.000Z,1
233,C,So,Shark,Animal,Orange,31.75,96,2020-11-27T08:00:00.000Z,1
234,J,False,Fish,Animal,Green,49.53,43,2020-12-07T08:00:00.000Z,1
235,Y,So,Quartz,Mineral,White,42.15,61,2020-11-26T08:00:00.000Z,1
236,R,True,Flower,Vegetable,Indigo,53.16,75,2020-12-04T08:00:00.000Z,1
237,C,So,Giraffe,Animal,Orange,89.63,65,2020-12-13T08:00:00.000Z,1
238,V,No,Algae,Vegetable,Green,37.3,41,2020-11-24T08:00:00.000Z,1
239,B,True,Moss,Vegetable,Orange,81.56,61,2020-12-02T08:00:00.000Z,1
240,X,Maybe,Grass,Vegetable,Red,56.75,96,2020-12-12T08:00:00.000Z,1
241,T,False,Cat,Animal,Red,4.39,33,2020-12-17T08:00:00.000Z,1
242,I,No,Algae,Vegetable,Brown,24.04,19,2020-12-22T08:00:00.000Z,1
243,S,True,Fern,Vegetable,Brown,59.02,69,2020-12-01T08:00:00.000Z,1
244,S,Yes,Dog,Animal,Black,1.24,49,2020-12-06T08:00:00.000Z,1
245,D,Yes,Ruby,Mineral,Brown,34.01,5,2020-12-14T08:00:00.000Z,1
246,V,Maybe,Jade,Mineral,Pink,0.35,89,2020-11-28T08:00:00.000Z,1
247,N,So,Quartz,Mineral,Black,48.92,47,2020-12-14T08:00:00.000Z,1
248,Q,Maybe,Grass,Vegetable,Blue,93.24,40,2020-11-26T08:00:00.000Z,1
249,N,Yes,Moss,Vegetable,Gray,75.29,49,2020-11-27T08:00:00.000Z,1
250,X,True,Ruby,Mineral,Purple,19.32,24,2020-12-06T08:00:00.000Z,1
251,K,So,Grass,Vegetable,Pink,98.65,90,2020-12-03T08:00:00.000Z,1
252,U,Maybe,Bird,Animal,Green,44.76,2,2020-11-28T08:00:00.000Z,1
253,G,False,Ruby,Mineral,Gray,14.22,21,2020-11-27T08:00:00.000Z,1
254,W,No,Gold,Mineral,Blue,35.21,11,2020-11-26T08:00:00.000Z,1
255,L,True,Silver,Mineral,Brown,57.27,31,2020-12-06T08:00:00.000Z,1
256,I,Maybe,Antelope,Animal,Black,23.61,43,2020-12-14T08:00:00.000Z,1
257,E,No,Jade,Mineral,Purple,9.02,70,2020-11-30T08:00:00.000Z,1
258,S,Yes,Lead,Mineral,Violet,46.39,96,2020-11-24T08:00:00.000Z,1
259,R,False,Duck,Animal,Indigo,74.85,24,2020-12-02T08:00:00.000Z,1
260,U,Maybe,Tree,Vegetable,Pink,29.79,54,2020-12-08T08:00:00.000Z,1
261,I,True,Horse,Animal,Brown,89.11,52,2020-11-24T08:00:00.000Z,1
262,B,Maybe,Fox,Animal,Orange,28.06,35,2020-12-07T08:00:00.000Z,1
263,T,No,Cat,Animal,Red,53.21,21,2020-12-12T08:00:00.000Z,1
264,D,Yes,Jade,Mineral,Brown,99.16,51,2020-12-22T08:00:00.000Z,1
265,Z,False,Jade,Mineral,Brown,55.89,6,2020-12-17T08:00:00.000Z,1
266,M,Maybe,Rabbit,Animal,White,38.4,79,2020-11-25T08:00:00.000Z,1
267,Q,Maybe,Fox,Animal,Brown,18.05,99,2020-12-16T08:00:00.000Z,1
268,A,Yes,Diamond,Mineral,Black,71.93,57,2020-11-25T08:00:00.000Z,1
269,Y,False,Diamond,Mineral,Violet,13.67,15,2020-12-19T08:00:00.000Z,1
270,F,So,Algae,Vegetable,Indigo,95.14,13,2020-12-02T08:00:00.000Z,1
271,K,False,Ruby,Mineral,Black,1.01,31,2020-12-13T08:00:00.000Z,1
272,D,False,Cow,Animal,Pink,65.77,42,2020-11-25T08:00:00.000Z,1
273,D,True,Lead,Mineral,Black,3.79,87,2020-12-16T08:00:00.000Z,1
274,S,Maybe,Algae,Vegetable,Orange,29.21,29,2020-12-04T08:00:00.000Z,1
275,D,Maybe,Gold,Mineral,Purple,92.93,21,2020-12-17T08:00:00.000Z,1
276,L,Yes,Kangaroo,Animal,Violet,12.15,35,2020-11-28T08:00:00.000Z,1
277,V,True,Flower,Vegetable,Indigo,52.78,64,2020-11-30T08:00:00.000Z,1
278,S,So,Gold,Mineral,Brown,74.56,17,2020-12-15T08:00:00.000Z,1
279,Q,True,Silver,Mineral,Violet,84.3,65,2020-12-13T08:00:00.000Z,1
280,G,Maybe,Tree,Vegetable,Red,59.08,84,2020-12-14T08:00:00.000Z,1
281,S,So,Algae,Vegetable,Orange,65.02,20,2020-12-23T08:00:00.000Z,1
282,S,True,Fox,Animal,White,43.51,21,2020-12-04T08:00:00.000Z,1
283,F,True,Algae,Vegetable,Brown,57.45,26,2020-11-27T08:00:00.000Z,1
284,T,No,Deer,Animal,Violet,71.7,71,2020-12-21T08:00:00.000Z,1
285,X,Maybe,Horse,Animal,Brown,44.21,67,2020-12-20T08:00:00.000Z,1
286,A,So,Grass,Vegetable,Pink,11.7,74,2020-12-03T08:00:00.000Z,1
287,K,No,Monkey,Animal,Red,11.71,96,2020-12-09T08:00:00.000Z,1
288,E,Yes,Cactus,Vegetable,Green,30.76,99,2020-12-15T08:00:00.000Z,1
289,K,True,Wolf,Animal,Blue,53.54,99,2020-12-09T08:00:00.000Z,1
290,S,Maybe,Jade,Mineral,Violet,57.39,35,2020-12-09T08:00:00.000Z,1
291,R,Maybe,Tree,Vegetable,Gray,89.93,60,2020-11-27T08:00:00.000Z,1
292,N,True,Ruby,Mineral,Violet,50.35,11,2020-12-12T08:00:00.000Z,1
293,E,Yes,Moss,Vegetable,Purple,51.61,15,2020-12-17T08:00:00.000Z,1
294,T,Maybe,Deer,Animal,Indigo,14.87,87,2020-11-27T08:00:00.000Z,1
295,N,So,Bat,Animal,Orange,64.95,37,2020-11-27T08:00:00.000Z,1
296,U,True,Flower,Vegetable,Red,17.78,41,2020-12-01T08:00:00.000Z,1
297,V,Maybe,Frog,Animal,Violet,37.37,88,2020-12-20T08:00:00.000Z,1
298,I,Maybe,Diamond,Mineral,Gray,84.38,19,2020-12-06T08:00:00.000Z,1
299,R,Yes,Jade,Mineral,Violet,44.54,92,2020-12-13T08:00:00.000Z,1
300,V,No,Sheep,Animal,Black,47.38,49,2020-12-03T08:00:00.000Z,1
301,I,No,Flower,Vegetable,Orange,91.88,28,2020-11-24T08:00:00.000Z,1
302,Q,Yes,Silver,Mineral,Blue,79.28,64,2020-12-14T08:00:00.000Z,1
303,T,True,Grass,Vegetable,Green,44.22,11,2020-12-17T08:00:00.000Z,1
304,M,False,Cougar,Animal,Pink,82.1,13,2020-12-11T08:00:00.000Z,1
305,N,No,Ruby,Mineral,Green,63.65,38,2020-12-01T08:00:00.000Z,1
306,Y,True,Tree,Vegetable,White,27.72,30,2020-12-07T08:00:00.000Z,1
307,D,False,Tree,Vegetable,Gray,0.72,11,2020-11-27T08:00:00.000Z,1
308,U,So,Cow,Animal,Green,75.17,4,2020-12-11T08:00:00.000Z,1
